Array.ORF;rep1;rep2;FY5;log.mean.mol;log.median.mol;Pramila.Hits;Spellman.Hits;Orlando.Hits;Granovskaia.Hits;Kelliher.Hits
YOR342C;-0.01177;0.07164;8.3197078833;7.59917750679988;7.55147509593952;1;1;1;1;1
YOR346W;0.06704;0.01733;8.6775374573;9.82052665133267;7.15586737258883;0;0;1;1;1
YOR347C;0.00752;-0.05034;9.8877839397;8.73889149405418;8.07205370426816;1;0;1;1;0
YOR348C;0.062;0.01834;10.7374527061;6.0092387795296;6.0092387795296;0;0;1;0;0
YOR351C;0.04358;0.06708;5.952449882;;;0;0;1;0;0
YOR355W;0.18867;0.11865;9.2291939145;8.43831244395253;7.6657731440777;0;1;0;0;0
YOR368W;-0.03751;0.07224;7.8662231183;6.43956657765791;6.19382467118725;0;0;1;1;1
YOR374W;0.01409;0.01976;11.1385335589;11.9823061926199;10.0078475678604;1;0;1;1;0
YOR375C;0.21083;0.0657;14.7835792036;11.390183755723;10.9262036287865;0;0;0;0;1
YOR377W;-0.08191;-0.03294;7.214871215;7.49534663071831;7.45841888793724;1;0;0;0;0
YOR378W;0.00705;0.00727;6.6331730414;7.07699665039805;7.07699665039805;0;0;0;0;1
YOR380W;-0.02824;-0.02401;8.6997808771;6.85855711132487;6.85855711132487;0;0;0;0;1
YOR382W;0.03936;0.0941;7.084311887;8.65585610351492;8.65585610351492;0;0;1;0;0
YOR383C;-0.07702;0.03411;9.8702739516;8.19567614376332;8.19567614376332;0;1;0;0;0
YOR384W;0.00021;0.01557;5.8428664361;7.70165236264223;7.70165236264223;0;0;1;0;0
YOR385W;-0.02032;0.02123;7.3567868471;7.74800453586092;7.59142152980556;1;0;0;0;0
YOR389W;-0.05192;0.06649;8.9793116987;7.36487472220465;7.36487472220465;0;0;0;0;1
YOR391C;-0.03216;0.03071;7.1598385576;5.49927770250237;5.85698379408105;1;1;0;0;0
YOR394C-A;0.09658;-0.03486;6.628203483;;;0;0;1;0;0
YPL003W;0.00172;0.13361;10.0816426315;7.06785964051062;7.03863918129291;1;0;1;0;0
YPL004C;-0.04346;-0.06371;11.4459724493;10.4874647374259;10.1728197504326;1;0;1;0;0
YPL005W;0.06229;0.06573;7.1287332193;7.0554176574552;7.4310365219614;0;0;1;0;1
YPL008W;0.03935;-0.00821;9.279447166;5.97981138812706;5.97758390194713;0;0;0;0;1
YPL009C;-0.03507;-0.03317;9.3216135079;8.83082334827813;8.80266158780394;0;0;0;0;1
YPL014W;-0.01275;0.05973;6.6774295886;8.0833237215564;8.02436824019899;1;1;1;1;1
YPL015C;-0.01341;0.06414;8.1999880604;8.499692763814;8.15132338976967;0;0;1;0;1
YPL018W;-0.04216;0.00477;6.5209510551;7.28286489201743;7.14281753939261;0;0;1;0;1
YPL019C;-0.00791;-0.00267;10.3086808843;9.30171306314173;8.99544622962947;1;0;0;0;1
YPL021W;-0.90199;;6.3561942917;8.13798045445214;8.13798045445214;0;1;0;0;0
YPL023C;0.00993;-0.02649;10.4187075339;8.42157917977664;8.5413744880027;0;0;1;0;0
YPL024W;0.02107;0.03023;8.1576030209;7.29336429191773;7.29336429191773;0;0;1;0;0
YPL026C;-0.1446;-0.05504;8.8100852645;7.71060044985169;7.73071498192978;0;0;0;0;1
YPL030W;-0.08261;-0.08364;9.1603918373;8.32916638624276;8.19555526561639;1;0;1;0;0
YPL032C;-0.41423;-0.29316;9.7346484446;8.97064881783524;8.34666268367319;1;1;1;1;1
YPL036W;-0.04434;-0.03745;7.4189271174;10.975068212589;10.6137046400924;1;1;0;0;0
